2024-11-04 18:05:16,106 | DEBUG | Data written
2024-11-04 18:05:16,106 | DEBUG | method chosen: OperationSettings.PROCESSES
2024-11-04 18:05:16,111 | DEBUG | Got data
2024-11-04 18:05:16,111 | DEBUG | Data written
2024-11-04 18:05:16,111 | DEBUG | method chosen: OperationSettings.PROCESSES
2024-11-04 18:05:16,112 | DEBUG | Got data
2024-11-04 18:05:16,112 | DEBUG | Value added to dictionary
2024-11-04 18:05:16,112 | DEBUG | adding name: Ophir to db was True
2024-11-04 18:05:16,112 | DEBUG | Data written
2024-11-04 18:05:16,112 | DEBUG | writing was True
2024-11-04 18:05:16,112 | DEBUG | released all reader slots
2024-11-04 18:05:16,112 | DEBUG | No writer
2024-11-04 18:05:16,112 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,112 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:16,220 | DEBUG | Value added to dictionary
2024-11-04 18:05:16,220 | DEBUG | adding age: 17 to db was True
2024-11-04 18:05:16,220 | DEBUG | Data written
2024-11-04 18:05:16,220 | DEBUG | writing was True
2024-11-04 18:05:16,220 | DEBUG | released all reader slots
2024-11-04 18:05:16,220 | DEBUG | No writer
2024-11-04 18:05:16,220 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,220 | DEBUG | Got value from dict - 17
2024-11-04 18:05:16,251 | DEBUG | No writer
2024-11-04 18:05:16,251 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,251 | DEBUG | Got value from dict - None
2024-11-04 18:05:16,358 | DEBUG | No writer
2024-11-04 18:05:16,358 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,358 | DEBUG | Got value from dict - None
2024-11-04 18:05:16,485 | DEBUG | Value added to dictionary
2024-11-04 18:05:16,485 | DEBUG | adding height: tall to db was True
2024-11-04 18:05:16,486 | DEBUG | Data written
2024-11-04 18:05:16,486 | DEBUG | writing was True
2024-11-04 18:05:16,486 | DEBUG | released all reader slots
2024-11-04 18:05:16,486 | DEBUG | No writer
2024-11-04 18:05:16,486 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,486 | DEBUG | Got value from dict - tall
2024-11-04 18:05:16,493 | DEBUG | Value added to dictionary
2024-11-04 18:05:16,493 | DEBUG | adding name: Ophir to db was True
2024-11-04 18:05:16,494 | DEBUG | Data written
2024-11-04 18:05:16,494 | DEBUG | writing was True
2024-11-04 18:05:16,494 | DEBUG | released all reader slots
2024-11-04 18:05:16,604 | DEBUG | No writer
2024-11-04 18:05:16,604 | DEBUG | Acquired reader lock
