2024-11-17 17:06:42,810 | DEBUG | Tests complete
2024-11-17 17:07:09,655 | DEBUG | Written to file
2024-11-17 17:07:09,655 | DEBUG | File Handle Closed
2024-11-17 17:07:09,656 | DEBUG | Value added to dictionary
2024-11-17 17:07:09,656 | DEBUG | Written to file
2024-11-17 17:07:09,656 | DEBUG | File Handle Closed
2024-11-17 17:07:09,656 | DEBUG | Read from file complete
2024-11-17 17:07:09,656 | DEBUG | File Handle Closed
2024-11-17 17:07:09,656 | DEBUG | Converted data to dict
2024-11-17 17:07:09,656 | DEBUG | Value added to dictionary
2024-11-17 17:07:09,656 | DEBUG | Written to file
2024-11-17 17:07:09,656 | DEBUG | File Handle Closed
2024-11-17 17:07:09,657 | DEBUG | Tests complete
2024-11-17 17:07:12,098 | DEBUG | Value added to dictionary
2024-11-17 17:07:12,099 | DEBUG | Written to file
2024-11-17 17:07:12,099 | DEBUG | File Handle Closed
2024-11-17 17:07:12,099 | DEBUG | Read from file complete
2024-11-17 17:07:12,099 | DEBUG | File Handle Closed
2024-11-17 17:07:12,099 | DEBUG | Converted data to dict
2024-11-17 17:07:12,099 | DEBUG | Value added to dictionary
2024-11-17 17:07:12,099 | DEBUG | Written to file
2024-11-17 17:07:12,099 | DEBUG | File Handle Closed
2024-11-17 17:07:12,099 | DEBUG | Tests complete
2024-11-17 17:07:20,231 | DEBUG | Value added to dictionary
2024-11-17 17:07:20,231 | DEBUG | Written to file
2024-11-17 17:07:20,232 | DEBUG | File Handle Closed
2024-11-17 17:07:20,232 | DEBUG | Read from file complete
2024-11-17 17:07:20,232 | DEBUG | File Handle Closed
2024-11-17 17:07:20,232 | DEBUG | Converted data to dict
2024-11-17 17:07:20,232 | DEBUG | Value added to dictionary
2024-11-17 17:07:20,232 | DEBUG | Written to file
2024-11-17 17:07:20,232 | DEBUG | File Handle Closed
2024-11-17 17:07:20,232 | DEBUG | Tests complete
2024-11-17 17:07:44,971 | DEBUG | Value added to dictionary
2024-11-17 17:07:44,971 | DEBUG | Written to file
2024-11-17 17:07:44,971 | DEBUG | File Handle Closed
2024-11-17 17:07:44,971 | DEBUG | Read from file complete
2024-11-17 17:07:44,971 | DEBUG | File Handle Closed
2024-11-17 17:07:44,971 | DEBUG | Converted data to dict
2024-11-17 17:07:44,971 | DEBUG | Value added to dictionary
2024-11-17 17:07:44,971 | DEBUG | Written to file
2024-11-17 17:07:44,971 | DEBUG | File Handle Closed
2024-11-17 17:07:44,972 | DEBUG | Tests complete
2024-11-17 17:08:08,851 | DEBUG | Value added to dictionary
2024-11-17 17:08:08,851 | DEBUG | Written to file
2024-11-17 17:08:08,852 | DEBUG | File Handle Closed
2024-11-17 17:08:08,852 | DEBUG | Read from file complete
2024-11-17 17:08:08,852 | DEBUG | File Handle Closed
2024-11-17 17:08:08,852 | DEBUG | Converted data to dict
2024-11-17 17:08:08,852 | DEBUG | Value added to dictionary
2024-11-17 17:08:08,852 | DEBUG | Written to file
2024-11-17 17:08:08,852 | DEBUG | File Handle Closed
2024-11-17 17:08:08,852 | DEBUG | Tests complete
2024-11-17 17:09:18,699 | DEBUG | Value added to dictionary
2024-11-17 17:09:18,699 | DEBUG | Written to file
2024-11-17 17:09:18,700 | DEBUG | File Handle Closed
2024-11-17 17:09:18,700 | DEBUG | Read from file complete
2024-11-17 17:09:18,700 | DEBUG | File Handle Closed
2024-11-17 17:09:18,700 | DEBUG | Converted data to dict
2024-11-17 17:09:18,700 | DEBUG | Value added to dictionary
2024-11-17 17:09:18,700 | DEBUG | Written to file
2024-11-17 17:09:18,700 | DEBUG | File Handle Closed
2024-11-17 17:09:18,700 | DEBUG | Tests complete
2024-11-17 17:09:31,762 | DEBUG | Written to file
2024-11-17 17:09:31,762 | DEBUG | File Handle Closed
2024-11-17 17:09:31,762 | DEBUG | Value added to dictionary
2024-11-17 17:09:31,762 | DEBUG | Written to file
2024-11-17 17:09:31,762 | DEBUG | File Handle Closed
2024-11-17 17:09:31,763 | DEBUG | Read from file complete
2024-11-17 17:09:31,763 | DEBUG | File Handle Closed
2024-11-17 17:09:31,763 | DEBUG | Converted data to dict
2024-11-17 17:09:31,763 | DEBUG | Value added to dictionary
2024-11-17 17:09:31,763 | DEBUG | Written to file
2024-11-17 17:09:31,763 | DEBUG | File Handle Closed
2024-11-17 17:09:31,763 | DEBUG | Tests complete
2024-11-17 17:10:16,230 | DEBUG | Value added to dictionary
2024-11-17 17:10:16,230 | DEBUG | Written to file
2024-11-17 17:10:16,230 | DEBUG | File Handle Closed
2024-11-17 17:10:16,230 | DEBUG | Read from file complete
2024-11-17 17:10:16,230 | DEBUG | File Handle Closed
2024-11-17 17:10:16,230 | DEBUG | Converted data to dict
2024-11-17 17:10:16,230 | DEBUG | Value added to dictionary
2024-11-17 17:10:16,230 | DEBUG | Written to file
2024-11-17 17:10:16,230 | DEBUG | File Handle Closed
2024-11-17 17:10:16,231 | DEBUG | Tests complete
2024-11-17 17:10:39,580 | DEBUG | Value added to dictionary
2024-11-17 17:10:39,580 | DEBUG | Written to file
2024-11-17 17:10:39,580 | DEBUG | File Handle Closed
2024-11-17 17:10:39,581 | DEBUG | Read from file complete
2024-11-17 17:10:39,581 | DEBUG | File Handle Closed
2024-11-17 17:10:39,581 | DEBUG | Converted data to dict
2024-11-17 17:10:39,581 | DEBUG | Value added to dictionary
2024-11-17 17:10:39,581 | DEBUG | Written to file
2024-11-17 17:10:39,581 | DEBUG | File Handle Closed
2024-11-17 17:10:39,581 | DEBUG | Tests complete
2024-11-17 17:10:53,258 | DEBUG | Value added to dictionary
2024-11-17 17:10:53,258 | DEBUG | Written to file
2024-11-17 17:10:53,258 | DEBUG | File Handle Closed
2024-11-17 17:10:53,258 | DEBUG | Read from file complete
2024-11-17 17:10:53,258 | DEBUG | File Handle Closed
2024-11-17 17:10:53,258 | DEBUG | Converted data to dict
2024-11-17 17:10:53,258 | DEBUG | Read from file complete
2024-11-17 17:10:53,258 | DEBUG | File Handle Closed
2024-11-17 17:10:53,258 | DEBUG | Converted data to dict
2024-11-17 17:10:53,258 | DEBUG | Value added to dictionary
2024-11-17 17:10:53,258 | DEBUG | Written to file
2024-11-17 17:10:53,259 | DEBUG | File Handle Closed
2024-11-17 17:10:53,259 | DEBUG | Tests complete
2024-11-17 17:13:41,015 | DEBUG | Value added to dictionary
2024-11-17 17:13:41,015 | DEBUG | Written to file
2024-11-17 17:13:41,015 | DEBUG | File Handle Closed
2024-11-17 17:13:41,015 | DEBUG | Read from file complete
2024-11-17 17:13:41,015 | DEBUG | File Handle Closed
2024-11-17 17:13:41,015 | DEBUG | Converted data to dict
2024-11-17 17:13:41,015 | DEBUG | Value added to dictionary
2024-11-17 17:13:41,015 | DEBUG | Written to file
2024-11-17 17:13:41,015 | DEBUG | File Handle Closed
2024-11-17 17:13:41,016 | DEBUG | Tests complete
2024-11-17 17:13:43,611 | DEBUG | Written to file
2024-11-17 17:13:43,611 | DEBUG | File Handle Closed
2024-11-17 17:13:43,612 | DEBUG | Value added to dictionary
2024-11-17 17:13:43,612 | DEBUG | Written to file
2024-11-17 17:13:43,612 | DEBUG | File Handle Closed
